,date,India,Germany,Italy,France,Russia,Germany_fitted,Italy_fitted,France_fitted,India_fitted,Russia_fitted
61,2020-06-20,410451.0,189135.0,238275.0,200065.0,576162.0,1.489467693463333e-05,243961.54941183812,0.011248207162132848,387634.48106900556,619653.5429851569
62,2020-06-21,425282.0,189822.0,238499.0,200408.0,583879.0,9.89479846906659e-06,244230.55487885917,0.00829465654242095,404955.79331983026,628780.0606974703
63,2020-06-22,440215.0,190359.0,238720.0,200550.0,591465.0,6.573154301228234e-06,244472.4684436585,0.006116648424358186,422889.95862777374,637512.0793563928
64,2020-06-23,456183.0,190862.0,238833.0,201248.0,598878.0,4.365389818988266e-06,244687.37426480738,0.004510540865539071,441445.2851914891,645845.1451638369
65,2020-06-24,473105.0,191449.0,239410.0,201516.0,606043.0,2.9001109194351885e-06,244875.36837960934,0.003326164533025721,460629.1382817744,653776.5894131509
66,2020-06-25,490401.0,192079.0,239706.0,201771.0,613148.0,1.9267251328278076e-06,245036.55830639027,0.0024527813490556913,480447.86267578247,661305.428181533
67,2020-06-26,508953.0,192556.0,239961.0,203034.0,619936.0,1.280560708177106e-06,245171.06283167898,0.001808730815349883,500906.7181210256,668432.2670233606
68,2020-06-27,528859.0,193243.0,240136.0,203482.0,626779.0,8.519932067748761e-07,245279.01176095154,0.0013337951112402466,522009.8287083191,675159.1849961604
69,2020-06-28,548318.0,193499.0,240310.0,203073.0,633563.0,5.663804088529458e-07,245360.54580425163,0.0009835677383749138,543760.120534631,681489.621828385
70,2020-06-29,566840.0,193761.0,240436.0,203718.0,640246.0,3.7223271379619497e-07,245415.8162403965,0.0007253018871917677,566159.2758077148,687428.2580822745
71,2020-06-30,585481.0,194259.0,240578.0,204160.0,646929.0,2.4902974010421624e-07,245444.98457761423,0.0005348520120102942,589207.7014013142,692980.8938335939
72,2020-07-01,604641.0,194725.0,240760.0,205150.0,653479.0,1.630224035586525e-07,245448.22231024955,0.0003944105020794321,612904.4933510502,698154.329522675
73,2020-07-02,625544.0,195228.0,240961.0,205689.0,660231.0,1.0817924535338729e-07,245425.71068665638,0.00029084614875160336,637247.418550999,702956.246957013
74,2020-07-03,648315.0,195674.0,241184.0,206228.0,666941.0,7.293244503978254e-08,245377.64058845528,0.00021447572762154006,662232.9090915926,707395.0932212217
75,2020-07-04,673165.0,196096.0,241419.0,206586.0,673564.0,4.9487761792995103e-08,245304.21197081858,0.00015815868024312692,687856.064560189,711479.9751659905
76,2020-07-05,697413.0,196335.0,241611.0,206598.0,680283.0,3.3684692463515045e-08,245205.63364794984,0.00011662932202607633,714110.6682662505,715220.5458917604
77,2020-07-06,719664.0,196554.0,241819.0,207616.0,686852.0,2.2790359458241138e-08,245082.1230012324,8.60045477399699e-05,740989.2119778591,718626.9061560592
78,2020-07-07,742417.0,196944.0,241956.0,208070.0,693215.0,1.5312952069573e-08,244933.90567071637,6.342242146394541e-05,768482.9438532406,721709.5148778282
79,2020-07-08,767296.0,197341.0,242149.0,208892.0,699749.0,1.0267804345984105e-08,244761.21537332464,4.676953865575444e-05,796581.923183934,724479.1033467876
80,2020-07-09,793802.0,197783.0,242363.0,209336.0,706240.0,6.924035269367819e-09,244564.29377010968,3.448880754205719e-05,825275.0781550462,726946.5892943301
81,2020-07-10,820916.0,198178.0,242639.0,210050.0,712863.0,4.673230415141134e-09,244343.3898190558,2.5432857713679947e-05,854550.2946905599,729123.006170361
82,2020-07-11,849522.0,198556.0,242827.0,210301.0,719449.0,3.1471888941247568e-09,244098.7596279275,1.8754865175723263e-05,884394.5066314631,731019.4380222138
83,2020-07-12,878254.0,198804.0,243061.0,210317.0,726036.0,2.125576612074238e-09,243830.66617600343,1.3830484868287774e-05,914793.8020241086,732646.960270926
84,2020-07-13,906752.0,198963.0,243230.0,211740.0,732547.0,1.4352561275474444e-09,243539.37903428954,1.0198674816855342e-05,945733.5395354776,734016.5850799131
85,2020-07-14,936181.0,199375.0,243344.0,211802.0,738787.0,9.659193759623648e-10,243225.17392287022,7.520555968688226e-06,977198.4614816459,735139.2159351276
86,2020-07-15,968857.0,199726.0,243506.0,212528.0,745197.0,6.501012794824118e-10,242888.33238017067,5.545816896842414e-06,1009172.8375357527,736025.6061835126
87,2020-07-16,1003832.0,200260.0,243736.0,213097.0,751612.0,3.3321647197234135e-10,242529.14173114792,4.089465340568349e-06,1041640.5965540909,736686.3243217892
88,2020-07-17,1039084.0,200843.0,243967.0,213921.0,758001.0,2.7344774528710695e-11,242147.89468349953,3.0155494421743835e-06,1074585.4724675703,737131.7237512349
89,2020-07-18,1077781.0,201372.0,244216.0,214086.0,764215.0,-2.0859469674139376e-10,241744.88904878474,2.2237811445341182e-06,1107991.153140624,737371.9179492169
90,2020-07-19,1118206.0,201574.0,244434.0,214090.0,770311.0,-3.746019418379713e-10,241320.4274683579,1.6399349224251102e-06,1141841.4220083451,737416.7593425617
91,2020-07-20,1155338.0,201823.0,244624.0,216001.0,776212.0,-4.706769607610224e-10,240874.81693686568,1.2084581100408524e-06,1176120.3137801767,737275.822804936
92,2020-07-21,1193078.0,202345.0,244752.0,216596.0,782040.0,-4.968197535105469e-10,240408.36860258083,8.908178120427518e-07,1210812.2553933924,736958.3926235851
93,2020-07-22,1238798.0,202799.0,245032.0,217517.0,787890.0,-4.530303200865448e-10,239921.39763784417,6.56995315100307e-07,1245902.2099626558,736473.4527470333
94,2020-07-23,1288108.0,203368.0,245338.0,218753.0,793720.0,-3.5435193715943446e-10,239414.22287782663,4.849355308531151e-07,1281375.8146934807,735829.6800201548
95,2020-07-24,1337024.0,204183.0,245590.0,219844.0,799499.0,-3.951593480241937e-10,238887.16655343125,3.57769298047838e-07,1317219.5094554597,735035.4399581638
96,2020-07-25,1385635.0,204964.0,245864.0,219928.0,805332.0,-4.175802434687417e-10,238340.55402578018,2.6394893958723756e-07,1353420.6589423066,734098.7845683708
97,2020-07-26,1435616.0,205269.0,246118.0,219932.0,811073.0,-4.2161462349307853e-10,237774.71340543506,1.949170551367612e-07,1389967.6664213908,733027.4532105719
98,2020-07-27,1480073.0,205609.0,246286.0,222420.0,816680.0,-4.072624880972041e-10,237189.97538548257,1.4412969051187519e-07,1426850.073235948,731828.8737847097
99,2020-07-28,1531669.0,206242.0,246488.0,222984.0,822060.0,-3.7452383728111855e-10,236586.67301924533,1.067878852024632e-07,1464058.649854846,730510.1661253112
